loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
1,2,1,0,0,326.03000000,1.290000,12.100,6165.60000,19.100000,0.231000,,,0,G8 III,4742.00,19.00,2.70,[Fe/H],2.243,2.31,,,78.28058,264.13775,88.1701000,93.1846000,10.7104000
2,1,1,0,0,516.21997000,1.530000,12.300,4684.81420,13.800000,0.080000,,,0,K4 III,4213.00,29.79,2.78,[Fe/H],2.430,1.93,1.560,,41.04437,108.71900,10.1132000,125.3210000,7.9538800
3,1,1,0,0,185.84000000,0.830000,12.900,1525.50000,3.900000,0.000000,,,0,K0 III,4813.00,11.00,2.20,[Fe/H],1.763,2.63,4.500,,-21.05141,106.41269,-83.7582000,75.4392000,13.2289000
4,1,2,0,0,1773.40002000,2.930000,12.900,1481.08780,3.790000,0.370000,,,0,K0 V,5338.00,0.93,0.90,[Fe/H],-0.153,4.45,3.900,,46.94447,69.16849,-296.4640000,17.9323000,55.7363000
5,3,1,0,0,798.50000000,1.660000,13.500,565.73740,1.260000,0.680000,,,0,G3 V,5750.00,1.13,1.08,[Fe/H],0.097,4.36,7.400,,13.20446,83.33558,-162.4930000,21.1397000,47.2754000
6,2,1,0,0,993.30000000,2.600000,12.500,3273.50000,9.210000,0.080000,,,0,G6 III,4979.00,8.50,2.30,[Fe/H],1.602,2.82,1.100,,-21.97480,58.69121,-34.1976000,76.2220000,13.0922000
7,1,1,0,0,,330.000000,18.647,3000.00000,2.540000,,,1700,0,K7 V,4060.00,1.31,0.85,,-0.370,4.00,0.005,,22.03031,352.89050,-23.2043000,139.1350000,7.1594900
8,1,1,0,0,30.35060000,0.190000,13.900,289.22530,0.592000,0.042000,,,0,G3 IV,4893.00,10.64,0.99,[Fe/H],1.774,2.42,6.920,,60.64470,90.16373,-46.8161000,95.9863000,10.3900000
9,1,2,0,0,452.80000000,1.333000,13.400,632.46000,1.440000,0.090000,,,0,K0 IV,5098.00,4.90,1.54,[Fe/H],1.164,3.50,2.700,,44.71580,245.08569,-36.2721000,72.0691000,13.8488000
10,1,2,0,0,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,,,0,K0 IV,5098.00,4.90,1.54,[Fe/H],1.164,3.50,2.700,,44.71580,245.08569,-36.2721000,72.0691000,13.8488000
11,2,1,0,1,,84.000000,12.300,4131.79000,12.200000,,,,0,M5.5/M6,,,0.19,,,,0.030,,-61.77586,299.26888,,47.2000000,
12,1,1,0,0,,52.000000,11.209,7786.50000,30.400000,,,1600,0,M3.5 V,3530.00,0.37,0.40,,-1.720,4.86,0.120,,-82.51990,195.45385,-123.3980000,33.8281000,29.5326000
13,1,1,0,0,,156.000000,16.141,4417.83700,5.770000,,,,0,M6,3064.00,0.28,0.11,,-2.230,4.59,0.035,,-67.98402,252.45343,-35.9000000,40.0896412,24.9440995
14,1,1,0,0,,15.000000,12.600,2383.60000,6.550000,,,,0,M8.5,2936.00,0.23,0.02,,-2.444,5.01,0.001,,-15.11435,176.51065,-21.4000000,120.4239870,8.3039935
15,1,1,0,0,,55.000000,12.900,1589.15000,4.070000,,,1250,0,M8,2825.00,0.22,0.02,,-2.561,5.03,0.008,,22.54309,293.79011,-23.7198000,64.3080000,15.5242000
16,2,1,0,1,416.00000000,0.920000,13.400,603.87700,1.380000,,,,0,,10868.00,0.34,0.48,[Fe/H],0.168,3.91,,,11.67426,79.01876,-4.6378000,396.3320000,2.4952200
17,1,1,0,0,7336.50000000,,10.310,6657.48000,33.400000,0.260000,,2075,0,M8.5,2300.00,0.12,0.08,,-3.480,5.22,,,-26.43736,70.48456,-85.6000000,33.1156898,30.1971665
18,1,1,0,0,,230.000000,12.300,3972.87500,11.700000,,,,0,K7 V,4045.00,0.64,0.60,,-1.021,4.62,0.120,,-9.10923,100.74846,-30.4839000,69.5737000,14.3444000
19,4,1,0,0,335.10001000,0.990000,12.300,4392.41060,13.000000,0.290000,,,0,F6 V,6331.00,1.41,1.93,[Fe/H],0.381,4.43,0.910,,-32.30930,151.47681,-10.6774000,44.6570000,22.3641000
20,1,1,0,0,269.30000000,0.870000,12.700,2256.50000,6.050000,0.432000,,,0,K1 III,4415.00,18.11,1.23,[Fe/H],2.062,1.80,4.604,,35.95654,151.35882,26.3620000,73.4603000,13.5901000
21,2,1,0,0,479.10000000,1.190000,13.000,1233.13000,3.080000,0.380000,,,0,K1.5 III,4200.00,22.03,0.98,[Fe/H],2.155,1.71,9.490,,27.12504,95.41912,-25.1041000,90.6545000,11.0061000
22,1,3,0,0,1078.00000000,2.100000,13.200,804.08000,1.920000,0.032000,,,0,G0 V,5872.00,1.21,1.06,[M/H],0.198,4.30,6.480,,63.36770,175.78305,55.0139000,13.7967000,72.4528000
23,1,3,0,0,2391.00000000,3.600000,14.200,171.62100,0.329000,0.098000,,,0,G1 V,5872.00,1.21,1.06,[M/H],0.198,4.30,6.480,,63.36770,175.78305,55.0139000,13.7967000,72.4528000
24,1,3,0,0,14002.00000000,11.600000,13.500,521.22000,1.160000,0.160000,,,0,G0V,5872.00,1.21,1.06,[M/H],0.198,4.30,6.480,,63.36770,175.78305,55.0139000,13.7967000,72.4528000
25,3,1,0,0,11688.00000000,12.000000,13.400,635.66000,1.450000,0.450000,,700,0,F0 IV,7295.00,1.49,1.65,[M/H],0.752,4.31,0.020,,-30.65764,198.61297,-63.8329000,29.7575000,33.5770000
26,1,1,0,0,4.23078500,0.052700,14.300,146.20180,0.275000,0.013000,,,0,G5V,5758.00,1.18,1.03,[M/H],0.136,4.31,10.000,30.00,-34.72750,90.06374,62.0940000,15.4614000,64.6488000
27,2,5,0,0,14.65160000,0.113400,13.900,263.97850,0.540000,0.000000,,700,0,K0 IV-V,5172.00,0.94,0.91,[Fe/H],-0.197,4.43,5.500,38.80,37.69663,196.79526,-233.6510000,12.5855000,79.4274000
28,2,5,0,0,44.39890000,0.237300,8.510,54.47380,0.486000,0.030000,,,0,G8V,5172.00,0.94,0.91,[Fe/H],-0.197,4.43,10.200,38.80,37.69663,196.79526,-233.6510000,12.5855000,79.4274000
29,2,5,0,0,5574.20000000,5.957000,13.000,1232.49300,3.080000,0.130000,,,0,G8 V,5172.00,0.94,0.91,[Fe/H],-0.197,4.43,5.500,38.80,37.69663,196.79526,-233.6510000,12.5855000,79.4274000
30,2,5,0,0,0.73654740,0.015440,1.875,7.99000,6.660000,0.050000,,1958,0,G8 V,5172.00,0.94,0.91,[Fe/H],-0.197,4.43,10.200,38.80,37.69663,196.79526,-233.6510000,12.5855000,79.4274000
31,2,5,0,0,259.88000000,0.770800,7.590,44.81200,0.563000,0.080000,,,0,G8V,5172.00,0.94,0.91,[Fe/H],-0.197,4.43,10.200,38.80,37.69663,196.79526,-233.6510000,12.5855000,79.4274000
32,1,1,0,0,934.30000000,2.110000,13.400,638.83830,1.460000,0.073000,,,0,K0 IV,4938.00,5.20,1.44,[Fe/H],1.176,3.19,2.353,,20.18918,156.97286,-338.6780000,54.6599000,18.2668000
33,1,3,0,0,4.21500000,0.050201,2.110,5.10000,2.980000,0.120000,,,0,G5 V,5577.00,0.96,0.94,[Fe/H],-0.095,4.34,8.960,,44.08875,311.85177,-1063.0000000,8.5033200,117.5730000
34,1,3,0,0,38.02100000,0.217500,4.460,18.20000,1.130000,0.140000,,,0,G5 V,5577.00,0.96,0.94,[Fe/H],-0.095,4.34,8.960,,44.08875,311.85177,-1063.0000000,8.5033200,117.5730000
35,1,3,0,0,123.01000000,0.476000,5.110,22.90000,0.943000,0.350000,,,0,G5 V,5577.00,0.96,0.94,[Fe/H],-0.095,4.34,8.960,,44.08875,311.85177,-1063.0000000,8.5033200,117.5730000
36,1,2,0,0,735.10000000,1.758000,13.400,587.98550,1.340000,0.060000,,,0,K1 III,4826.00,4.87,1.34,[Fe/H],1.063,3.19,4.300,,-11.79597,228.68876,-72.8065000,19.8101000,50.4571000
37,1,2,0,0,996.00000000,2.153000,13.900,276.51210,0.566000,0.080000,,,0,K1III(+M),4826.00,4.87,1.34,[Fe/H],1.063,3.19,4.300,,-11.79597,228.68876,-72.8065000,19.8101000,50.4571000
38,1,1,0,0,116.68800000,0.481000,12.600,2380.45000,6.540000,0.398800,,,0,G5V,5495.00,1.89,1.09,[Fe/H],0.451,3.95,7.770,,74.09910,337.65749,-576.2830000,17.9011000,55.8347000
39,2,1,0,0,691.90000000,2.100000,13.100,953.49000,2.330000,0.117000,,,0,G3 III,4846.00,10.50,2.49,[Fe/H],1.730,2.63,,,-54.44177,169.94418,-30.4851000,82.9613000,12.0264000
40,1,1,0,0,93.40000000,0.490000,13.600,416.35730,0.910000,0.060000,,,0,K0,4847.00,10.30,1.44,[Fe/H],1.725,2.57,1.700,,39.66099,112.79492,3.5706900,162.5520000,6.1230400
41,1,1,0,0,952.70000000,2.500000,12.800,1684.40000,4.410000,0.206000,,,0,G5 III,4785.00,11.00,2.40,[Fe/H],1.778,2.35,,,-55.24995,174.48697,-43.3311000,101.2600000,9.8489500
42,3,1,0,0,181.40000000,0.700000,13.100,1017.00000,2.490000,0.027000,,,0,K0 III,4665.00,11.00,1.40,[Fe/H],1.692,2.52,3.560,,-61.11327,67.07416,-17.1669000,44.0304000,22.6884000
43,1,1,0,0,,260.000000,12.300,4290.50000,12.700000,,,,0,K2 V,5285.00,1.00,0.90,[Fe/H],-0.226,4.53,0.030,,-26.93081,266.94347,45.0721000,50.0475000,19.9521000
44,1,2,0,0,8.46300000,0.064500,4.070,17.00000,1.400000,0.000000,,593,0,M1VE,3700.00,0.75,0.50,,-1.046,4.57,0.022,4.86,-36.80401,12.65304,-359.8950000,9.7221000,102.8290000
45,1,2,0,0,18.85901900,0.110100,3.240,13.60000,2.300000,0.000000,,454,0,M1VE,3700.00,0.75,0.50,,-1.065,4.57,0.022,4.86,-36.80401,12.65304,-359.8950000,9.7221000,102.8290000
46,1,1,0,0,481.90000000,1.300000,12.700,2034.11200,5.460000,0.200000,,,0,,4095.00,32.35,1.14,[Fe/H],2.700,1.89,5.200,,61.57342,269.32522,-3.5241600,1070.6300000,0.9034030
47,1,1,0,0,268.94000000,0.780000,13.800,330.54320,0.691000,0.290000,,,0,K2 V,4864.00,0.86,0.49,[Fe/H],-0.320,4.26,,,-22.63172,64.41837,-0.2753200,49.3520000,20.2337000
48,1,1,0,0,153.22000000,0.576000,13.800,337.21763,0.705000,0.001000,,,0,G5,4649.00,8.95,1.08,[Fe/H],1.570,2.61,7.410,,70.27244,249.00212,-11.6827000,768.0450000,1.2732700
49,1,1,0,0,137.48000000,0.539000,13.700,352.78000,0.754000,0.260000,,,0,K0,4796.00,14.70,1.10,[Fe/H],2.010,2.80,7.100,,44.78011,28.10432,-41.9015000,426.4200000,2.3168900
50,1,2,0,0,379.63000000,1.050000,11.600,17668.16970,62.200000,0.150000,,,0,K2 II,4259.00,71.02,10.83,[Fe/H],3.170,1.77,,,53.95226,216.04472,-29.9425000,1539.7100000,0.5984970
51,1,2,0,0,621.99000000,2.010000,12.400,3963.17000,11.400000,0.180000,,,0,K2 II,4137.00,49.00,2.80,[Fe/H],3.170,1.51,,,53.95226,216.04472,-29.9425000,1539.7100000,0.5984970
52,1,1,0,0,578.20000000,1.300000,13.000,1334.88600,3.340000,0.210000,,,0,K5 III,4296.00,17.30,0.80,[Fe/H],1.960,1.99,,,-40.23345,138.97420,-3.7834500,1322.5100000,0.7226190
53,1,1,0,0,41.68550000,0.241000,2.578,22.24810,7.890000,0.000000,,546,0,G,5766.00,1.08,1.67,[Fe/H],-0.056,4.50,3.340,,-28.05348,166.79660,-51.3647000,179.4610000,5.5436600
54,1,1,0,0,307.88000000,0.830000,13.600,432.24663,0.944000,0.120000,,,0,K1,5004.00,0.81,0.81,[Fe/H],-0.399,4.22,,,-14.70463,137.23205,-7.1894600,53.6220000,18.6205000
55,1,1,0,0,392.60000000,1.000000,13.900,289.22530,0.592000,0.200000,,,0,K0 III,4414.00,11.00,0.74,[Fe/H],1.690,2.24,,,-9.37870,140.80848,-6.2823500,871.4930000,1.1208600
56,1,1,0,0,733.00000000,1.700000,13.500,540.31100,1.210000,0.760000,,,0,K3 III,4534.00,10.33,1.09,[Fe/H],1.640,2.48,,746.00,-9.96534,141.10904,-1.1350600,666.5890000,1.4728900
57,1,1,0,0,2590.00000000,4.200000,13.500,508.50000,1.140000,0.350000,,,0,K0,4943.00,7.60,1.52,[Fe/H],1.470,2.85,2.340,,-7.80173,143.61792,-9.6748100,442.0420000,2.2342000
58,1,1,0,0,265.59000000,0.780000,14.000,228.83645,0.458000,0.270000,,,0,K3,5012.00,0.90,0.91,[Fe/H],-0.313,4.09,,,-5.64657,129.03163,-216.2270000,52.5697000,18.9935000
59,1,1,0,0,1198.48000000,2.060000,13.000,1258.60049,3.150000,0.880000,,,0,K0,5000.00,0.80,0.82,[Fe/H],-0.413,4.20,,,29.15130,93.08126,248.0020000,38.0473000,26.2541000
60,1,1,0,0,723.20000000,1.480000,12.000,7961.60160,25.300000,0.390000,,,0,G0,5040.00,0.84,0.81,[Fe/H],-0.350,4.25,,,-53.35536,77.53408,-272.3030000,42.6402000,23.4239000
61,1,2,0,0,3.87280000,0.042800,2.850,8.50000,2.020000,0.000000,,,0,K7/M0 V,4324.00,0.69,0.70,[Fe/H],-1.022,4.74,4.400,,-15.71602,211.65797,-346.7210000,20.2695000,49.3062000
62,1,2,0,0,125.94000000,0.435000,8.380,53.00000,0.495000,0.310000,,,0,K7/M0 V,4324.00,0.69,0.70,[Fe/H],-1.022,4.74,4.400,,-15.71602,211.65797,-346.7210000,20.2695000,49.3062000
63,1,2,0,0,5.60000000,0.060000,3.610,12.71320,1.480000,0.150000,,,0,K3 V,4816.00,0.71,0.50,[Fe/H],-0.626,4.43,4.500,,34.75486,248.49513,25.4601000,41.3342000,24.1641000
64,1,2,0,0,237.60000000,0.680000,12.500,104.00000,0.293000,0.190000,,,0,K3 V,4746.00,0.72,0.74,[Fe/H],-0.626,4.13,4.500,,34.75486,248.49513,25.4601000,41.3342000,24.1641000
65,1,1,0,0,3.48777000,0.040000,14.100,187.51970,0.368000,0.020000,,,0,K0 V,5393.00,0.91,1.47,[Fe/H],-0.191,4.69,1.000,,43.23793,263.28467,-8.3740700,84.4069000,11.8187000
66,1,2,0,0,1634.00000000,2.360000,14.100,206.58950,0.405000,0.050000,,,0,K7 V,4550.00,0.64,0.65,[Fe/H],-0.804,4.64,7.400,25.00,-1.35959,20.54287,-235.5600000,27.1665000,36.7812000
67,1,2,0,0,74.20000000,0.300000,4.040,15.37000,1.280000,0.400000,,,0,K7V,4550.00,0.64,0.65,[Fe/H],-0.804,4.64,7.400,25.00,-1.35959,20.54287,-235.5600000,27.1665000,36.7812000
68,1,1,0,0,714.29999000,1.660000,12.500,3108.37740,8.750000,0.210000,,,0,G5 IV/V,4545.00,19.17,2.12,[Fe/H],2.043,2.20,0.740,,3.53127,230.52055,-3.8019400,925.2140000,1.0540200
69,1,1,0,0,655.60000000,1.340000,12.800,1620.90000,4.250000,0.540000,,,0,K5 V,4714.00,0.69,0.74,[Fe/H],-0.678,4.26,4.300,,-77.87825,95.83026,-227.7370000,34.4603000,28.9903000
70,1,1,0,0,10037.50000000,2.600000,12.400,3337.10000,9.620000,,,370,0,,580.50,,0.02,,,4.72,,,55.65506,9.59427,,23.1000000,43.3000000
71,1,1,0,0,8040000.00000000,200.000000,20.849,2479.06157,1.500000,,,1800,0,M9-L1,2320.00,0.24,0.01,,-2.850,3.85,0.003,,16.96444,353.60499,,,
72,1,1,0,0,,210.000000,12.300,3994.48600,11.800000,,,,0,M3.5,3099.00,,0.35,,,,0.002,,-15.92181,297.27760,0.2146270,190.3740000,5.2343500
73,1,1,0,0,8.98910000,,12.400,3686.82800,10.600000,0.250000,,,0,K7,3807.00,1.88,0.90,,-0.108,,0.003,,-16.63607,175.46435,-17.0673000,157.9980000,6.3007900
74,1,1,0,0,402000000.00000000,7506.000000,12.442,2002.31896,5.710000,,,434,0,M3 V,3406.00,0.39,0.37,[Fe/H],-1.732,4.83,0.475,2.83,-23.12313,288.91588,-193.2650000,10.8864000,91.8291000
75,1,1,0,0,,440.000000,24.660,5403.00000,1.980000,,,2600,0,K5e,4403.00,1.68,,[Fe/H],-0.102,3.66,0.002,,-14.90929,296.65359,-0.1749980,190.7200000,5.2144400
76,1,1,0,0,1.50895570,0.027520,16.700,327.35000,0.380000,0.000000,,1898,0,G0 V,5950.00,1.11,0.95,[M/H],0.298,4.25,1.600,,-2.10712,215.33882,0.5471300,787.9090000,1.2417600
77,1,1,0,0,13.24060000,0.105500,10.870,874.00000,3.700000,0.530000,,600,0,K1 V,5075.00,0.79,0.89,[Fe/H],-0.726,4.65,3.000,,-6.95299,37.36069,-22.7350000,338.3860000,2.9269400
78,1,1,0,0,2.99433000,0.043600,16.030,740.51000,0.990000,0.000000,,1657,0,F6 V,6440.00,1.37,1.27,[Fe/H],0.378,4.22,2.000,,4.63005,37.24009,-5.2417500,655.0370000,1.5007100
79,1,1,0,0,2.82804200,0.040160,16.140,291.43800,0.411000,0.070000,,1442,0,,5675.00,1.12,1.08,[Fe/H],0.070,4.38,6.300,,-2.45441,213.13155,-3.4749200,1126.3700000,0.8612340
80,1,1,0,0,4.03519000,0.051000,9.920,415.70400,2.340000,0.000000,,1700,0,G0 V,5945.00,1.01,1.09,[Fe/H],0.073,4.46,1.635,,-2.43966,217.39860,-3.2569300,1148.9300000,0.8439470
81,1,1,0,0,1.51214000,0.027000,12.220,2415.40000,7.300000,0.000000,,1952,0,F9 V,6035.00,1.21,1.13,[Fe/H],0.119,4.35,4.200,,-2.02059,218.11787,-3.6015500,1744.6000000,0.5473580
82,1,1,0,0,5.35227000,0.061800,13.110,170.03200,0.440000,0.330000,,,0,G5 V,5650.00,1.19,1.10,[M/H],-0.435,4.36,6.730,,1.10110,25.61433,-8.0432700,732.4090000,1.3405600
83,1,1,0,0,3.76810000,0.046100,11.430,772.29000,2.820000,0.000000,,1626,0,G2 V,5740.00,1.59,1.04,[Fe/H],0.134,4.40,10.700,,0.66631,25.15299,-8.0502800,1176.1200000,0.8233800
84,1,1,0,0,1.90006930,0.029500,14.680,1102.82000,2.200000,0.080000,,1550,0,G9 V,5440.00,1.00,0.95,[Fe/H],-0.170,4.40,0.032,5.40,-4.18491,210.81910,-3.2603000,764.8890000,1.2806300
85,1,1,0,0,3.89713000,0.051800,14.460,352.78000,0.710000,0.047000,,2000,0,F9 V,6090.00,1.65,1.21,[Fe/H],0.544,4.07,5.000,,-5.26125,210.42057,-6.0133700,790.6630000,1.2376400
86,2,1,0,0,1.74299350,0.027980,16.432,1102.82000,1.470000,0.014300,,1521,1,,5625.00,0.91,0.96,[Fe/H],-0.131,4.53,2.700,4.52,-7.29102,38.26267,-10.9361000,213.2830000,4.6607600
87,1,2,0,0,9.24285000,0.090000,9.416,1366.66900,8.870000,0.590000,,1024,0,G2 V,5880.00,1.02,1.14,,0.170,4.35,0.100,,-4.46860,210.38123,-2.8034900,844.0610000,1.1569900
88,1,2,0,0,1675.00000000,2.900000,12.200,5403.11000,16.400000,0.600000,,,0,G2 V,4947.50,1.37,1.14,,0.006,4.35,0.100,,-4.46860,210.38123,-2.8034900,844.0610000,1.1569900
89,1,1,0,0,2.72474000,0.041700,14.572,718.29580,1.360000,0.000000,,,0,F8 IV,6200.00,1.95,1.29,[Fe/H],0.705,3.70,4.100,,-1.74447,212.37415,1.7984000,1398.8341969,0.7148810
90,1,1,0,0,9.75598000,0.092000,4.880,12.20000,0.249000,0.077000,,885,0,G3 V,5939.00,1.14,1.10,[Fe/H],0.014,4.36,3.300,,4.77500,37.48307,1.1244900,627.1580000,1.5662400
91,1,1,0,0,3.63130000,0.048000,11.770,889.90000,3.000000,0.160000,,1660,0,G0 V,5900.00,1.61,1.14,[Fe/H],0.087,4.30,7.200,,4.71959,35.41749,-8.3218800,1060.9700000,0.9154200
92,1,2,0,0,5.11340000,0.056000,3.700,5.70000,0.900000,0.000000,,1070,0,K1 V,4950.00,0.86,0.91,[Fe/H],-0.601,4.55,11.000,,-2.52763,215.81744,2.7536500,591.5550000,1.6632900
93,1,2,0,0,11.75900000,0.098000,5.000,28.00000,1.300000,0.000000,,850,0,K1 V,4950.00,0.86,0.91,[Fe/H],-0.601,4.55,11.000,,-2.52763,215.81744,2.7536500,591.5550000,1.6632900
94,1,1,0,0,4.86069000,0.057800,12.110,85.81000,0.150000,0.000000,,1330,0,F9,6040.00,1.19,1.09,[Fe/H],0.141,4.31,4.500,,4.94113,37.73014,0.9046880,1103.4800000,0.8788530
95,1,1,0,0,4.20474000,0.052600,14.120,165.26000,0.280000,0.000000,,1600,0,G5,5590.00,1.79,1.09,[Fe/H],0.451,3.99,8.600,,5.92600,37.74453,-9.1339600,1045.1800000,
96,1,1,0,0,3.57532000,0.047600,11.287,3302.11000,12.600000,0.065000,,1500,0,G2,5900.00,1.08,1.05,[M/H],-0.166,4.40,4.210,,6.39649,35.89455,-9.7655600,1010.2800000,0.9660400
97,1,1,0,0,5.20851000,0.060300,10.705,153.82972,0.690000,0.047000,,,0,G8/9 IV,5150.00,1.78,1.01,[Fe/H],0.388,3.60,12.000,,6.24131,36.01305,-6.6595800,766.1830000,1.2768500
98,1,1,0,0,2.85057000,0.038600,10.088,270.15550,1.450000,0.082000,,,0,K0 V,5260.00,0.90,0.97,[Fe/H],-0.094,4.30,4.500,,6.45872,36.92336,-14.3693000,806.5070000,1.2156200
99,1,1,0,0,4.25680000,0.057830,11.320,6883.91000,26.400000,0.000000,,1695,0,F3 V,6740.00,1.56,1.37,[Fe/H],0.391,4.22,2.200,,-8.12065,37.26302,-0.3259820,768.7710000,1.2747200
100,1,1,0,0,9.06005000,0.084400,11.310,921.70700,3.450000,0.007000,,,0,G3 V,5650.00,0.91,0.98,[Fe/H],-0.197,4.40,3.000,,7.77355,36.66096,-0.2409150,1032.2300000,0.9424470
101,1,1,0,0,4.62941000,0.058600,16.365,266.97720,0.330000,0.020000,,,0,G2 IV,5700.00,2.15,1.25,[Fe/H],0.398,3.85,4.700,,-9.16321,213.22491,-7.1537500,2005.7600000,0.4700260
102,1,1,0,0,9.20205000,0.090000,13.340,228.83000,0.525000,0.000000,,1074,0,,6190.00,1.17,1.16,,0.185,4.41,1.000,8.90,-0.89847,213.22759,-3.8976500,726.4120000,1.3484400
103,1,1,0,0,4.03789620,0.049470,15.558,148.42000,0.217000,0.090000,,1438,0,F9 V,6100.00,1.19,1.00,[M/H],0.180,4.19,6.900,,-1.03620,211.48472,-8.2781800,882.4720000,1.1054000
104,1,1,0,0,8.88659300,0.085500,13.068,940.74000,2.320000,0.100000,,1017,0,F9 V,6090.00,1.02,1.05,[Fe/H],0.026,4.43,2.500,6.40,4.61580,38.06304,1.8404800,645.2940000,1.5215200
105,1,2,0,0,0.85359163,0.017016,1.681,4.07661,6.610000,0.000000,,1756,0,G9 V,5275.00,0.83,0.82,[Fe/H],-0.289,4.50,1.750,,-2.17853,213.01042,-0.1075200,159.9060000,6.2250400
106,1,2,0,0,3.69800000,0.046000,2.830,8.40000,2.040000,0.000000,,,0,G9 V,5256.00,0.86,0.90,[M/H],-0.289,4.52,1.750,,-2.17853,213.01042,-0.1075200,159.9060000,6.2250400
107,1,1,0,0,6.21229000,0.063000,6.390,69.92000,1.600000,0.000000,,870,0,K1 V,5080.00,0.77,0.88,[M/H],-0.400,4.58,3.000,,-7.10426,38.21286,-32.7832000,322.0370000,3.0766200
108,2,1,0,0,95.27265600,0.402100,11.949,266.97720,0.860000,0.133000,,420,0,G3 V,5625.00,0.96,0.96,[Fe/H],-0.254,4.54,6.000,,4.66217,37.52335,-14.9187000,412.9800000,2.3929500
109,1,1,0,0,6.71837000,0.071000,6.389,47.67450,1.100000,,132.26,938,0,G0 VI,5970.00,0.79,1.08,[Fe/H],-0.155,4.67,,,1.86373,203.48237,-4.5555700,576.6830000,1.7058900
110,2,1,0,1,4098.10000000,5.750000,12.400,3823.27330,11.000000,0.000000,,,0,,3579.00,0.42,0.51,,-1.574,4.80,,,70.27803,104.28761,-175.8270000,30.5225000,32.7338000
111,1,1,0,0,246.36000000,0.360000,11.900,9057.77000,29.500000,0.345000,,,0,L1.5,,,0.07,,,,1.000,,-6.82669,265.61638,11.8000000,20.7700000,48.1600000
112,1,1,0,0,,330.000000,30.264,3496.00000,0.693000,,,2200,0,M0.5,4371.00,0.27,0.33,,-0.212,4.00,0.001,,-14.93888,171.89958,-20.6990000,134.8460000,7.3879900
113,1,4,0,0,18.57000000,0.146200,5.290,24.27000,0.901000,0.083000,,877,0,F8 V,6196.00,1.26,1.21,,0.320,4.41,2.010,,-19.05301,215.35863,-21.2726000,62.5388000,15.9613000
114,1,4,0,0,6.58400000,0.073300,3.060,9.60000,1.840000,0.057000,,1239,0,F8 V,6196.00,1.26,1.21,,0.320,4.41,2.010,,-19.05301,215.35863,-21.2726000,62.5388000,15.9613000
115,1,4,0,0,2.88200000,0.042200,1.650,3.35000,4.100000,0.070000,,1632,0,F8 V,6196.00,1.26,1.21,,0.320,4.41,2.010,,-19.05301,215.35863,-21.2726000,62.5388000,15.9613000
116,1,4,0,0,5.51600000,0.065100,1.860,4.13000,3.530000,0.070000,,1314,0,F8 V,6196.00,1.26,1.21,,0.320,4.41,2.010,,-19.05301,215.35863,-21.2726000,62.5388000,15.9613000
117,1,1,0,0,5.20720000,0.066400,14.300,138.89171,0.261000,0.078000,,1000,0,F5 V,6500.00,1.78,1.44,,0.104,4.10,2.000,,-75.53420,246.92255,7.6057600,137.9400000,7.2208400
118,2,1,0,0,6.67320000,0.066200,1.410,2.58000,5.060000,0.140000,,854,0,K0 V,5138.00,0.91,0.87,[Fe/H],-0.293,4.30,10.900,21.80,-29.14463,283.20965,-384.4600000,45.2300000,22.1100000
119,2,1,0,1,10220.00000000,8.190000,12.700,1995.88832,5.350000,0.390000,,,0,,13500.00,0.01,0.69,,-2.400,,,,66.45634,230.89636,-1.4443300,305.6840000,3.2780700
120,2,1,0,0,8.13826800,,5.700,413.17900,,0.000000,145.10,850,0,G6 V,5428.00,0.96,1.01,,-0.140,4.60,0.045,2.85,-46.63356,312.10146,-67.4396000,44.0622000,22.6663000
121,1,1,0,0,6.79870000,0.034900,1.047,1.15000,5.510000,0.000000,,,0,,3648.00,0.28,0.29,[Fe/H],-1.900,5.00,,,51.24569,264.99528,-20.1101000,134.0000000,
122,1,1,0,0,28.16560000,,1.870,4.16000,3.500000,,,,0,,3587.00,0.37,0.41,,-1.508,4.78,,,56.94662,278.31843,-12.4418000,159.2590000,6.2508800
123,1,1,0,0,2.13174000,,0.692,0.26000,4.310000,,,,0,,4991.00,0.55,0.78,[M/H],-0.766,4.63,,,54.82399,258.19387,-12.0384000,253.0260000,3.9233900
124,1,2,0,0,3.80464000,,1.220,1.98000,5.990000,,,,0,,5942.50,1.60,1.07,[M/H],0.458,4.09,,,64.09010,285.15815,-14.8821000,476.8820000,2.0687700
125,1,3,0,0,2.71578000,,1.030,1.08000,5.430000,,,,0,K3 V,4761.00,0.54,0.67,[Fe/H],-0.761,4.63,,,61.77713,262.91176,21.6459000,334.9670000,2.9569100
126,1,1,0,0,2.04780000,0.029600,0.908,0.68800,5.050000,0.000000,,,0,,4520.00,0.66,0.73,[Fe/H],-0.364,4.66,,,61.14782,260.88050,-5.9749600,577.6000000,
127,1,2,0,0,3.96151000,,1.000,0.97200,5.340000,,,,0,,4292.67,0.63,0.61,[M/H],-0.874,4.74,,,59.32248,252.27127,-24.1765000,257.4430000,3.8561600
