loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
533,1,2,0,0,53.75300000,0.255400,3.130,9.96000,1.780000,0.156000,,,0,K2 V,5035.00,0.78,0.77,[Fe/H],-0.435,4.58,7.200,38.99,-59.46088,279.09436,30.9745000,28.2305000,35.3938000
534,1,2,0,0,19.38200000,0.154000,13.900,274.91000,0.562000,0.020000,,,0,F8 V,6255.00,1.67,1.29,[Fe/H],0.602,4.11,2.900,,4.21860,131.74451,-39.1522000,79.5515000,12.5417000
535,1,2,0,0,931.00000000,2.030000,12.800,1630.40000,4.270000,0.120000,,,0,F8 V,6255.00,1.67,1.29,[Fe/H],0.602,4.11,2.900,,4.21860,131.74451,-39.1522000,79.5515000,12.5417000
536,1,1,0,0,4218.00000000,5.150000,13.300,699.22600,1.630000,0.020000,,,0,G0,5867.00,1.25,1.30,[Fe/H],0.196,4.36,8.400,,-16.44854,138.83237,-183.6250000,47.3963000,21.0701000
537,1,1,0,0,1125.70000000,2.360000,12.500,3101.89000,8.730000,0.100000,,,0,K0,4700.00,11.47,1.35,[Fe/H],1.823,2.90,3.070,,49.84741,86.15965,1.7601200,112.0900000,8.8929900
538,1,1,0,0,11.53533000,0.109700,11.500,131.89945,0.477000,0.251000,356.00,1228,0,G5 III/IV,5521.00,2.34,1.32,[Fe/H],0.660,3.82,4.510,,-50.42274,308.21517,-5.0556000,79.5702000,12.5386000
539,1,1,0,0,1455.00000000,3.400000,12.600,2479.00000,6.810000,0.533000,,,0,G9 III,4815.00,12.40,2.40,[Fe/H],1.898,2.61,0.690,,-35.05762,147.04613,-40.9926000,142.0240000,7.0124700
540,1,1,0,0,15.50830000,0.123800,3.770,13.63484,1.400000,0.160000,,,0,G0Vvar,5885.38,1.39,1.05,[Fe/H],0.346,4.17,6.320,18.00,44.10377,15.69566,-69.3836000,11.8148000,84.6121000
541,1,4,0,0,94.44000000,0.415000,14.300,143.34133,0.269000,0.040000,,,0,K0,5600.00,1.39,1.07,[Fe/H],0.201,4.28,,,50.45641,74.98872,6.1975100,37.0169000,26.9857000
542,1,4,0,0,201.99000000,0.689000,13.600,422.71390,0.923000,0.048000,,,0,K0,5600.00,1.39,1.07,[Fe/H],0.201,4.28,,,50.45641,74.98872,6.1975100,37.0169000,26.9857000
543,1,4,0,0,1069.80000000,2.090000,13.700,375.03940,0.801000,0.074000,,,0,K0,5600.00,1.39,1.07,[Fe/H],0.201,4.28,,,50.45641,74.98872,6.1975100,37.0169000,26.9857000
544,1,4,0,0,5000.00000000,5.000000,14.100,209.76780,0.411000,0.260000,,,0,K0,5600.00,1.39,1.07,[Fe/H],0.201,4.28,,,50.45641,74.98872,6.1975100,37.0169000,26.9857000
545,1,1,0,0,653.21997000,1.500000,12.500,3079.77270,8.660000,0.410000,,,0,G2/G3 V,5870.00,1.03,1.09,[Fe/H],0.022,4.45,2.320,,26.78098,351.88911,19.1127000,33.3622000,29.9453000
546,2,2,0,0,349.70000000,1.020000,13.700,397.27000,0.849000,0.170000,,,0,G1 IV,6245.00,1.47,1.23,[Fe/H],0.474,4.62,3.120,,-66.38756,321.58140,-40.6904000,26.1853000,38.1605000
547,2,2,0,0,6005.00000000,6.800000,12.800,1684.40000,4.410000,0.210000,,,0,F7V,6245.00,1.47,1.23,[Fe/H],0.474,4.62,3.120,,-66.38756,321.58140,-40.6904000,26.1853000,38.1605000
548,2,1,0,0,1928.00000000,2.930000,12.900,1411.16520,3.610000,0.530000,,,0,K0,5421.00,1.04,0.90,[Fe/H],0.004,4.35,7.000,,-23.31633,307.71909,-31.2016000,34.2802000,29.1424000
549,3,1,0,0,1299.00000000,2.780000,13.100,975.73810,2.390000,0.000000,,,0,K0,4922.00,4.63,3.50,[Fe/H],1.130,3.65,2.300,,46.38366,26.94357,-21.7636000,97.2305000,10.2562000
550,1,1,0,0,386.29999000,1.060000,13.500,530.77610,1.190000,0.500000,,,0,G1 V,5940.00,1.04,1.07,[Fe/H],0.060,4.44,1.100,,-5.25392,324.17725,-101.8350000,35.5318000,28.1149000
