num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
1,0,6.21229,0.063,6.39,69.92,0.0,870.0,5080.0,0.77,0.88,-0.4,3.0,-7.10426,38.21286,322.037,3.07662,0.00023856337126925363,0.07592702698972623,1
2,0,95.272656,0.4021,11.949,266.9772,0.133,420.0,5625.0,0.96,0.96,-0.254,6.0,4.66217,37.52335,412.98,2.39295,0.000835002848164907,0.11387977227360196,1
1,0,18.57,0.1462,5.29,24.27,0.083,877.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,6.022397566782593e-05,0.03841239524023796,4
1,0,6.584,0.0733,3.06,9.6,0.057,1239.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,2.3821597297533124e-05,0.022219646396054473,4
1,0,2.882,0.0422,1.65,3.35,0.07,1632.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,8.312744890284997e-06,0.01198118188022545,4
1,0,5.516,0.0651,1.86,4.13,0.07,1314.0,6196.0,1.26,1.21,0.32,2.01,-19.05301,215.35863,62.5388,15.9613,1.0248249670709563e-05,0.013506059574072327,4
1,0,5.2072,0.0664,14.3,138.89171,0.078,1000.0,6500.0,1.78,1.44,0.104,2.0,-75.5342,246.92255,137.94,7.22084,0.0002896001941651304,0.07350253153486626,1
2,0,6.6732,0.0662,1.41,2.58,0.14,854.0,5138.0,0.91,0.87,-0.293,10.9,-29.14463,283.20965,45.23,22.11,8.904006518610982e-06,0.014176335483455565,1
1,0,21.1701963,0.1195,1.92,4.35,0.06,431.0,4057.0,0.58,0.62,-1.153,0.79,32.03739,208.28299,186.197,5.34209,2.10660244246582e-05,0.030287225919165533,1
1,0,19.49221,0.1493,5.76,27.0,0.0,817.0,6069.0,1.39,1.17,0.373,3.99,38.12775,208.78206,181.69,5.47529,6.92887806009978e-05,0.03791350582686908,1
1,0,0.571331,0.0134,1.82,7.72,0.0,2119.0,5617.0,0.98,0.97,-0.119,5.0,-52.07644,123.28442,244.59,4.06029,2.3896295605210096e-05,0.016991494302865187,2
1,0,13.339079,0.1091,2.73,5.8,0.18,741.0,5617.0,0.98,0.97,-0.119,5.0,-52.07644,123.28442,244.59,4.06029,1.7953175454691526e-05,0.025487241454297777,2
1,0,3.5951,0.047,1.95,8.75,0.06,1616.0,5430.0,1.71,1.05,0.356,9.0,34.30816,345.11043,321.296,3.08429,2.5020948550360312e-05,0.01043337369474178,3
1,0,15.624,0.13,3.67,14.67,0.07,990.0,5430.0,1.71,1.05,0.356,9.0,34.30816,345.11043,321.296,3.08429,4.194940745528981e-05,0.01963614433830889,3
1,0,35.747,0.22,3.94,10.18,0.15,752.0,5430.0,1.71,1.05,0.356,9.0,34.30816,345.11043,321.296,3.08429,2.9110086427733484e-05,0.021080765311426983,3
1,0,5.746007,0.0385,2.025,4.76,0.0,456.0,3348.0,0.31,0.29,-1.971,9.9,37.03563,206.06509,27.9276,35.7781,4.928264073091659e-05,0.05976536767819206,1
1,0,1.628931,0.0153,1.13,1.66,0.22,529.0,3270.0,0.21,0.18,-2.359,5.0,7.75911,277.25461,12.613,79.2543,2.768984972906541e-05,0.04923176554419913,2
1,0,8.929,0.0476,1.43,2.64,0.27,300.0,3270.0,0.21,0.18,-2.359,5.0,7.75911,277.25461,12.613,79.2543,4.403686944863416e-05,0.06230214577717234,2
1,0,1.58040433,0.0149,2.742,8.17,0.063,596.0,3250.0,0.21,0.18,-2.337,3.0,23.60704,26.16217,14.6427,68.2653,0.00013628076643762917,0.11946327532937523,1
1,0,35.61253,0.1915,2.61,22.7,0.188,422.0,4640.0,0.69,0.73,-0.686,3.8,-45.82079,279.23027,16.32,61.2455,9.336584089202944e-05,0.03460809374730735,2
2,0,133.71,0.49,13.1,1071.04,0.511,350.0,5540.0,0.9,0.9,-0.18,0.37,-37.14415,304.86901,17.5559,56.9319,0.0035731248980503884,0.13317265192929378,1
2,0,24.45,0.141,3.19,10.27,0.11,391.0,4005.0,0.58,0.64,-1.101,4.0,42.66615,164.94013,6.33256,157.885,4.818096405228758e-05,0.050320963896946895,1
1,0,3.3366496,0.0355,4.57,13.9,0.017,594.0,3600.0,0.55,0.54,-1.538,1.65,21.75667,206.23529,29.4214,33.9601,7.728692996666854e-05,0.0760220843005115,1
2,0,50.8,0.2324,2.63,7.6,0.45,309.0,4120.0,0.68,0.65,-0.924,12.4,67.81292,198.37152,11.8893,84.0803,3.510631550450555e-05,0.03538613236603485,2
2,0,749.83,1.4,8.4,53.83,0.105,125.0,4120.0,0.68,0.65,-0.924,12.4,67.81292,198.37152,11.8893,84.0803,0.00024865433731678074,0.11302034672041548,2
1,0,2.64388312,0.0291,4.17,22.1,0.13827,686.0,3586.11,0.46,0.47,-1.585,6.0,74.57238,210.55638,9.75321,102.501,0.0001411820330969267,0.08294008673923657,1
1,0,9.262,0.068,1.88,4.2,0.0,468.0,3688.0,0.47,0.49,-1.434,2.88,-65.95709,5.10081,3.29,303.9,2.5735832794656322e-05,0.03659706465232501,2
1,0,1.2089819,0.0188,1.577,4.91,0.0,1044.0,4340.0,0.6,0.61,-0.942,10.0,-57.18299,81.34803,29.661,33.6855,2.4167775222741473e-05,0.024047321231965225,3
1,0,3.6480957,0.03925,1.241,0.84,0.0,722.0,4340.0,0.6,0.61,-0.942,10.0,-57.18299,81.34803,29.661,33.6855,4.134609203075934e-06,0.018923732180639728,3
1,0,6.2014698,0.05591,2.022,4.04,0.0,605.0,4340.0,0.6,0.61,-0.942,10.0,-57.18299,81.34803,29.661,33.6855,1.988550140526997e-05,0.03083302696958382,3
2,0,4.46529976,0.05561,14.785,166.86075,0.0,1322.0,5980.0,1.17,1.15,0.225,3.6,-19.03641,99.79172,158.979,6.26153,0.0004356536599121254,0.11561700873603106,1
1,0,4.88780244,0.05254,4.36,26.69772,0.218,838.0,4780.0,0.68,0.81,-0.567,6.5,10.77239,81.83486,37.7647,26.4508,9.896330052324824e-05,0.05866294186916804,2
1,0,3.2130598,0.0384,10.749,67.059,0.0,963.0,4650.0,0.7,0.73,-0.678,2.5,68.87632,87.99255,142.751,6.97632,0.0002758158556994979,0.14049351712422914,1
1,0,2.91625,0.04383,14.258,270.462,0.0133,1740.0,5653.0,1.76,1.32,0.346,5.0,37.54198,172.49839,246.81,4.02313,0.000615201435166141,0.07411945281432529,2
1,0,446.27,1.258,12.3,4538.421,0.6616,340.0,5653.0,1.76,1.32,0.346,5.0,37.54198,172.49839,246.81,4.02313,0.010323236212806801,0.0639408942078974,2
2,0,4.62767,0.0596,15.917,1093.3352,0.11,1624.0,6600.0,1.82,2.65,0.644,1.6,33.53751,62.58916,222.663,4.46233,0.0012387751149055657,0.08001586237239797,1
1,0,10.8635,0.0965,11.882,616.5902,0.19,904.0,5568.0,1.07,1.0,0.0,6.8,-6.8916,161.55863,192.516,5.16638,0.001851320600502765,0.10159960799040321,1
